179.14288,61.786764;179.40354,61.323363
179.3651,57.674071;179.07547,57.336175
179.40354,61.323363;179.74144,61.535755
179.58714,57.442371;179.3651,57.674071
179.7223,57.799576;179.58714,57.442371
179.74144,61.535755;179.83798,61.101317
179.78019,48.444681;177.81073,48.666727
179.78979,50.250012;179.78019,48.444681
179.83798,61.101317;180.06003,61.584026
179.88642,57.480988;179.7223,57.799576
18.104335,45.808853;17.628948,48.410278
18.183566,42.560373;17.972283,42.969734
18.196771,43.00935;18.183566,42.560373
18.42126,43.352685;18.500491,43.03576
18.500491,43.03576;18.196771,43.00935
18.632543,43.590379;18.711774,43.352685
18.685364,50.906062;26.568871,52.120941
18.711774,43.352685;18.42126,43.352685
18.799889,72.163147;18.821424,73.498306
18.821424,73.498306;19.768955,73.476771
180.02158,57.818884;179.88642,57.480988
180.06003,61.584026;180.32069,61.275092
180.32069,61.275092;180.6972,61.47783
180.32086,57.538913;180.02158,57.818884
180.62014,57.886463;180.32086,57.538913
180.6972,61.47783;180.82271,61.149588
180.82271,61.149588;180.96752,61.757801
